doc_id,cleaned_filer_names,member_name,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500022854,Jack Minor,"Walker, Mark",FALSE,NC,6,R,2020,Original,2020-02-19,2020-02-22,4,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022855,Kathleen Heffernan,"Rutherford, John",FALSE,FL,5,R,2020,Original,2020-02-18,2020-02-21,4,Florida Ports Council,"Cape Canaveral, FL; Jacksonville, FL",domestic,NA
500022856,Catherine O'Connor,"Walden, Greg",FALSE,OR,2,R,2020,Original,2020-02-17,2020-02-21,5,Global Women's Innovation Network,"Berlin, Germany",international,NA
500022857,Michael Grider,"Burchett, Tim",FALSE,TN,2,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022858,Matthew Bisenius,"Sensenbrenner, F. James",FALSE,WI,5,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022859,Brendan Belair,"Collins, Doug",FALSE,GA,9,R,2020,Original,2020-02-19,2020-02-20,2,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022861,Rebecca Shaw,"Hollingsworth, Trey",FALSE,IN,9,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022863,Mike Johnson,"Johnson, Mike",TRUE,LA,4,R,2020,Original,2020-02-13,2020-02-20,8,12Tribe Films Foundation,"Jerusalem, Israel",international,NA
500022867,Desiree Koetzle,"Stauber, Pete",FALSE,MN,8,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022868,Jenifer Nawrocki Bradley,"Rutherford, John",FALSE,FL,5,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022870,Jesse Von Stein,"Young, Don",FALSE,AK,0,R,2020,Original,2020-02-17,2020-02-22,6,Woodrow Wilson Center,"El Paso, TX; Mexico City, Mexico",domestic,NA
500022871,Peter Barnes,"Bishop, Dan",FALSE,NC,8,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022872,Matthew A. Stroia,"Kelly, Mike",FALSE,PA,16,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022873,Andrew Christianson,"Johnson, Dusty",FALSE,SD,0,R,2020,Original,2020-02-18,2020-02-21,4,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022875,Diana DeGette,"DeGette, Diana",TRUE,CO,1,D,2020,Original,2020-02-15,2020-02-24,10,U.S. Association Of Former Members Of Congress,"Kyoto, Japan; Tokyo, Japan",international,NA
500022876,Linda Sanchez,"Sanchez, Linda",TRUE,CA,38,D,2020,Original,2020-02-15,2020-02-22,8,U.S. Association Of Former Members Of Congress,"Kyoto, Japan; Tokyo, Japan",international,NA
500022877,Danielle Johnson,"Nadler, Jerrold",FALSE,NY,12,D,2020,Original,2020-02-18,2020-02-20,3,Motion Picture Association of America,"Los Angeles, CA; Universal City, CA",domestic,NA
500022878,Melissa Kiedrowicz Ellison,"Sanchez, Linda",FALSE,CA,38,D,2020,Original,2020-02-18,2020-02-20,3,Motion Picture Association of America,"Los Angeles, CA; Universal City, CA",domestic,NA
500022880,Kyle Kizzier,"Mitchell, Paul",FALSE,MI,10,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022881,Stephen Reynolds,"Balderson, Troy",FALSE,OH,12,R,2020,Original,2020-02-19,2020-02-21,3,"South Florida Agricultural Foundation, Inc.","Clewiston, FL; West Palm Beach, FL",domestic,NA
500022882,Ellen Caroline Gosnell,"Scalise, Steve",FALSE,LA,1,R,2020,Original,2020-02-19,2020-02-20,2,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022883,Rachel Rathore,"Latta, Robert",FALSE,OH,5,R,2020,Original,2020-02-17,2020-02-21,5,Global Women's Innovation Network,"Berlin, Germany",international,NA
500022885,John Barton Reising,"Scalise, Steve",FALSE,LA,1,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022886,Drew Griffin,"Latta, Robert",FALSE,OH,5,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022887,Melissa Murphy,"Rouzer, David",FALSE,NC,7,R,2020,Original,2020-02-19,2020-02-20,2,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022888,Quincy Cunningham,"Baird, James",FALSE,IN,4,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
