Permit Category,County Agency,Permit Case ID,Permit Case Year,Permit Type,Case Name,Street Address,City,Zip Code,Permit Issuance Date,Expected Construction Cost,Location
Building Permit,DPIE,3242827,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242696,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242620,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242500,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242617,2022,DPIE ER,COONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244919,2023,DPIE EC,3244919 Limbach,7401 BALTIMORE,COLLEGE PARK,20740,January 09 2023,0,"7401 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242667,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242638,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242502,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242501,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242697,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242484,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242659,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242649,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242666,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242623,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242626,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242712,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242661,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242628,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242479,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242648,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242635,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
Building Permit,DPIE,3242621,2022,DPIE ER,COLONIAL ELECTRIC CO 13323-2020,4201 RIVER,COLLEGE PARK,20740,January 09 2023,0,"4201 RIVER COLLEGE PARK,MD 20740"
